,State,Locale,Load Level,File Dir
62,CA,Camp Pendleton MCAS,BASE,residential_load_data/BASE/USA_CA_Camp.Pendleton.MCAS.722926_TMY3_BASE.csv
63,CA,Carlsbad,BASE,residential_load_data/BASE/USA_CA_Carlsbad.722927_TMY3_BASE.csv
64,CA,China Lake NAF,BASE,residential_load_data/BASE/USA_CA_China.Lake.NAF.746120_TMY3_BASE.csv
65,CA,Chino AP,BASE,residential_load_data/BASE/USA_CA_Chino.AP.722899_TMY3_BASE.csv
66,CA,Chula Vista-Brown Field Muni AP,BASE,residential_load_data/BASE/USA_CA_Chula.Vista-Brown.Field.Muni.AP.722904_TMY3_BASE.csv
67,CA,Concord-Buchanan Field,BASE,residential_load_data/BASE/USA_CA_Concord-Buchanan.Field.724936_TMY3_BASE.csv
68,CA,Crescent City-Jack McNamara Field,BASE,residential_load_data/BASE/USA_CA_Crescent.City-Jack.McNamara.Field.725946_TMY3_BASE.csv
69,CA,Edwards AFB,BASE,residential_load_data/BASE/USA_CA_Edwards.AFB.723810_TMY3_BASE.csv
70,CA,Fairfield-Travis AFB,BASE,residential_load_data/BASE/USA_CA_Fairfield-Travis.AFB.745160_TMY3_BASE.csv
71,CA,Fresno Air Terminal,BASE,residential_load_data/BASE/USA_CA_Fresno.Air.Terminal.723890_TMY3_BASE.csv
72,CA,Fullerton Muni AP,BASE,residential_load_data/BASE/USA_CA_Fullerton.Muni.AP.722976_TMY3_BASE.csv
73,CA,Hawthorne-Jack Northrop Field,BASE,residential_load_data/BASE/USA_CA_Hawthorne-Jack.Northrop.Field.722956_TMY3_BASE.csv
74,CA,Hayward Air Terminal,BASE,residential_load_data/BASE/USA_CA_Hayward.Air.Terminal.724935_TMY3_BASE.csv
75,CA,Imperial County AP,BASE,residential_load_data/BASE/USA_CA_Imperial.County.AP.747185_TMY3_BASE.csv
76,CA,Lancaster-Gen Wm Fox Field,BASE,residential_load_data/BASE/USA_CA_Lancaster-Gen.Wm.Fox.Field.723816_TMY3_BASE.csv
77,CA,Lemoore NAS,BASE,residential_load_data/BASE/USA_CA_Lemoore.NAS.747020_TMY3_BASE.csv
78,CA,Livermore Muni AP,BASE,residential_load_data/BASE/USA_CA_Livermore.Muni.AP.724927_TMY3_BASE.csv
79,CA,Lompoc AWOS,BASE,residential_load_data/BASE/USA_CA_Lompoc.AWOS.722895_TMY3_BASE.csv
80,CA,Long Beach-Daugherty Field,BASE,residential_load_data/BASE/USA_CA_Long.Beach-Daugherty.Field.722970_TMY3_BASE.csv
81,CA,Los Angeles Intl AP,BASE,residential_load_data/BASE/USA_CA_Los.Angeles.Intl.AP.722950_TMY3_BASE.csv
82,CA,March AFB,BASE,residential_load_data/BASE/USA_CA_March.AFB.722860_TMY3_BASE.csv
83,CA,Merced-Macready Field,BASE,residential_load_data/BASE/USA_CA_Merced-Macready.Field.724815_TMY3_BASE.csv
84,CA,Modesto Muni AP,BASE,residential_load_data/BASE/USA_CA_Modesto.Muni.AP.724926_TMY3_BASE.csv
85,CA,Montague-Siskiyou County AP,BASE,residential_load_data/BASE/USA_CA_Montague-Siskiyou.County.AP.725955_TMY3_BASE.csv
86,CA,Monterey NAF,BASE,residential_load_data/BASE/USA_CA_Monterey.NAF.724915_TMY3_BASE.csv
87,CA,Mountain View-Moffett Field NAS,BASE,residential_load_data/BASE/USA_CA_Mountain.View-Moffett.Field.NAS.745090_TMY3_BASE.csv
88,CA,Napa County AP,BASE,residential_load_data/BASE/USA_CA_Napa.County.AP.724955_TMY3_BASE.csv
89,CA,Needles AP,BASE,residential_load_data/BASE/USA_CA_Needles.AP.723805_TMY3_BASE.csv
90,CA,Oakland Intl AP,BASE,residential_load_data/BASE/USA_CA_Oakland.Intl.AP.724930_TMY3_BASE.csv
91,CA,Oxnard AP,BASE,residential_load_data/BASE/USA_CA_Oxnard.AP.723927_TMY3_BASE.csv
92,CA,Palm Springs-Thermal AP,BASE,residential_load_data/BASE/USA_CA_Palm.Springs-Thermal.AP.747187_TMY3_BASE.csv
93,CA,Palm Springs Intl AP,BASE,residential_load_data/BASE/USA_CA_Palm.Springs.Intl.AP.722868_TMY3_BASE.csv
94,CA,Palmdale AP,BASE,residential_load_data/BASE/USA_CA_Palmdale.AP.723820_TMY3_BASE.csv
95,CA,Paso Robles Muni AP,BASE,residential_load_data/BASE/USA_CA_Paso.Robles.Muni.AP.723965_TMY3_BASE.csv
96,CA,Point Mugu NAS,BASE,residential_load_data/BASE/USA_CA_Point.Mugu.NAS.723910_TMY3_BASE.csv
97,CA,Porterville AWOS,BASE,residential_load_data/BASE/USA_CA_Porterville.AWOS.723895_TMY3_BASE.csv
98,CA,Red Bluff Muni AP,BASE,residential_load_data/BASE/USA_CA_Red.Bluff.Muni.AP.725910_TMY3_BASE.csv
99,CA,Redding Muni AP,BASE,residential_load_data/BASE/USA_CA_Redding.Muni.AP.725920_TMY3_BASE.csv
100,CA,Riverside Muni AP,BASE,residential_load_data/BASE/USA_CA_Riverside.Muni.AP.722869_TMY3_BASE.csv
101,CA,Sacramento Exec AP,BASE,residential_load_data/BASE/USA_CA_Sacramento.Exec.AP.724830_TMY3_BASE.csv
102,CA,Sacramento Metro AP,BASE,residential_load_data/BASE/USA_CA_Sacramento.Metro.AP.724839_TMY3_BASE.csv
103,CA,Salinas Muni AP,BASE,residential_load_data/BASE/USA_CA_Salinas.Muni.AP.724917_TMY3_BASE.csv
104,CA,San Diego-Lindbergh Field,BASE,residential_load_data/BASE/USA_CA_San.Diego-Lindbergh.Field.722900_TMY3_BASE.csv
105,CA,San Diego-Miramar NAS,BASE,residential_load_data/BASE/USA_CA_San.Diego-Miramar.NAS.722930_TMY3_BASE.csv
106,CA,San Diego-Montgomery Field,BASE,residential_load_data/BASE/USA_CA_San.Diego-Montgomery.Field.722903_TMY3_BASE.csv
107,CA,San Diego-North Island NAS,BASE,residential_load_data/BASE/USA_CA_San.Diego-North.Island.NAS.722906_TMY3_BASE.csv
108,CA,San Francisco Intl AP,BASE,residential_load_data/BASE/USA_CA_San.Francisco.Intl.AP.724940_TMY3_BASE.csv
109,CA,San Jose Intl AP,BASE,residential_load_data/BASE/USA_CA_San.Jose.Intl.AP.724945_TMY3_BASE.csv
110,CA,San Luis Obispo AP,BASE,residential_load_data/BASE/USA_CA_San.Luis.Obispo.AP.722897_TMY3_BASE.csv
111,CA,Sandberg,BASE,residential_load_data/BASE/USA_CA_Sandberg.723830_TMY3_BASE.csv
112,CA,Santa Ana-John Wayne AP,BASE,residential_load_data/BASE/USA_CA_Santa.Ana-John.Wayne.AP.722977_TMY3_BASE.csv
113,CA,Santa Barbara Muni AP,BASE,residential_load_data/BASE/USA_CA_Santa.Barbara.Muni.AP.723925_TMY3_BASE.csv
114,CA,Santa Maria Public AP,BASE,residential_load_data/BASE/USA_CA_Santa.Maria.Public.AP.723940_TMY3_BASE.csv
115,CA,Santa Monica Muni AP,BASE,residential_load_data/BASE/USA_CA_Santa.Monica.Muni.AP.722885_TMY3_BASE.csv
116,CA,Santa Rosa AWOS,BASE,residential_load_data/BASE/USA_CA_Santa.Rosa.AWOS.724957_TMY3_BASE.csv
117,CA,South Lake Tahoe-Lake Tahoe AP,BASE,residential_load_data/BASE/USA_CA_South.Lake.Tahoe-Lake.Tahoe.AP.725847_TMY3_BASE.csv
118,CA,Stockton Metro AP,BASE,residential_load_data/BASE/USA_CA_Stockton.Metro.AP.724920_TMY3_BASE.csv
119,CA,Truckee Tahoe AP,BASE,residential_load_data/BASE/USA_CA_Truckee.Tahoe.AP.725846_TMY3_BASE.csv
120,CA,Twentynine Palms,BASE,residential_load_data/BASE/USA_CA_Twentynine.Palms.690150_TMY3_BASE.csv
121,CA,Ukiah Muni AP,BASE,residential_load_data/BASE/USA_CA_Ukiah.Muni.AP.725905_TMY3_BASE.csv
122,CA,Van Nuys AP,BASE,residential_load_data/BASE/USA_CA_Van.Nuys.AP.722886_TMY3_BASE.csv
123,CA,Visalia Muni AWOS,BASE,residential_load_data/BASE/USA_CA_Visalia.Muni.AWOS.723896_TMY3_BASE.csv
124,CA,Yuba County AP,BASE,residential_load_data/BASE/USA_CA_Yuba.County.AP.724838_TMY3_BASE.csv
125,CO,Akron-Washington County AP,BASE,residential_load_data/BASE/USA_CO_Akron-Washington.County.AP.724698_TMY3_BASE.csv
126,CO,Alamosa Muni AP,BASE,residential_load_data/BASE/USA_CO_Alamosa.Muni.AP.724620_TMY3_BASE.csv
127,CO,Aspen-Pitkin County-Sardy Field,BASE,residential_load_data/BASE/USA_CO_Aspen-Pitkin.County-Sardy.Field.724676_TMY3_BASE.csv
128,CO,Aurora-Buckley Field ANGB,BASE,residential_load_data/BASE/USA_CO_Aurora-Buckley.Field.ANGB.724695_TMY3_BASE.csv
129,CO,Boulder-Broomfield-Jefferson County AP,BASE,residential_load_data/BASE/USA_CO_Boulder-Broomfield-Jefferson.County.AP.724699_TMY3_BASE.csv
130,CO,Colorado Springs-Peterson Field,BASE,residential_load_data/BASE/USA_CO_Colorado.Springs-Peterson.Field.724660_TMY3_BASE.csv
131,CO,Cortez-Montezuma County AP,BASE,residential_load_data/BASE/USA_CO_Cortez-Montezuma.County.AP.724767_TMY3_BASE.csv
132,CO,Craig Moffat AP,BASE,residential_load_data/BASE/USA_CO_Craig.Moffat.AP.725700_TMY3_BASE.csv
133,CO,Denver Intl AP,BASE,residential_load_data/BASE/USA_CO_Denver.Intl.AP.725650_TMY3_BASE.csv
134,CO,Durango-La Plata County AP,BASE,residential_load_data/BASE/USA_CO_Durango-La.Plata.County.AP.724625_TMY3_BASE.csv
